Library/Norris,Fisk Hall,Weber Arch,Jacobs Center,Tech Institute,Patten Gym,SPAC,Sheridan/Noyes,Campus Dr/Annenberg,
8:53:00 PM,8:54:00 PM,8:56:00 PM,8:57:00 PM,8:58:00 PM,9:00:00 PM,9:01:00 PM,9:03:00 PM,9:06:00 PM,
9:13:00 PM,9:14:00 PM,9:16:00 PM,9:17:00 PM,9:18:00 PM,9:20:00 PM,9:21:00 PM,9:23:00 PM,9:26:00 PM,
9:33:00 PM,9:34:00 PM,9:36:00 PM,9:37:00 PM,9:38:00 PM,9:40:00 PM,9:41:00 PM,9:43:00 PM,9:46:00 PM,
9:53:00 PM,9:54:00 PM,9:56:00 PM,9:57:00 PM,9:58:00 PM,10:00:00 PM,10:01:00 PM,10:03:00 PM,10:06:00 PM,
10:13:00 PM,10:14:00 PM,10:16:00 PM,10:17:00 PM,10:18:00 PM,10:20:00 PM,10:21:00 PM,10:23:00 PM,10:26:00 PM,
10:33:00 PM,10:34:00 PM,10:36:00 PM,10:37:00 PM,10:38:00 PM,10:40:00 PM,10:41:00 PM,10:43:00 PM,10:46:00 PM,
10:53:00 PM,10:54:00 PM,10:56:00 PM,10:57:00 PM,10:58:00 PM,11:00:00 PM,11:01:00 PM,11:03:00 PM,11:06:00 PM,
11:13:00 PM,11:14:00 PM,11:16:00 PM,11:17:00 PM,11:18:00 PM,11:20:00 PM,11:21:00 PM,11:23:00 PM,11:26:00 PM,
11:33:00 PM,11:34:00 PM,11:36:00 PM,11:37:00 PM,11:38:00 PM,11:40:00 PM,11:41:00 PM,11:43:00 PM,11:46:00 PM,
11:53:00 PM,11:54:00 PM,11:56:00 PM,11:57:00 PM,11:58:00 PM,12:00:00 AM,12:01:00 AM,12:03:00 AM,12:06:00 AM,
12:13:00 AM,12:14:00 AM,12:16:00 AM,12:17:00 AM,12:18:00 AM,12:20:00 AM,12:21:00 AM,12:23:00 AM,12:26:00 AM,
12:33:00 AM,12:34:00 AM,12:36:00 AM,12:37:00 AM,12:38:00 AM,12:40:00 AM,12:41:00 AM,12:43:00 AM,12:46:00 AM,
12:53:00 AM,12:54:00 AM,12:56:00 AM,12:57:00 AM,12:58:00 AM,1:00:00 AM,1:01:00 AM,1:03:00 AM,1:06:00 AM,
1:13:00 AM,1:14:00 AM,1:16:00 AM,1:17:00 AM,1:18:00 AM,1:20:00 AM,1:21:00 AM,1:23:00 AM,1:26:00 AM,
1:33:00 AM,1:34:00 AM,1:36:00 AM,1:37:00 AM,1:38:00 AM,1:40:00 AM,1:41:00 AM,1:43:00 AM,1:46:00 AM,
1:53:00 AM,1:54:00 AM,1:56:00 AM,1:57:00 AM,1:58:00 AM,2:00:00 AM,2:01:00 AM,2:03:00 AM,2:06:00 AM,
2:13:00 AM,2:14:00 AM,2:16:00 AM,2:17:00 AM,2:18:00 AM,2:20:00 AM,2:21:00 AM,2:23:00 AM,2:26:00 AM,
2:33:00 AM,2:34:00 AM,2:36:00 AM,2:37:00 AM,2:38:00 AM,2:40:00 AM,2:41:00 AM,2:43:00 AM,2:46:00 AM,
